,assignment_id,instructor_id,mnemonic,term
0,1_ds_tech_bootcamp_FALL2021,1,ds_tech_bootcamp,FALL2021
1,2_stat6021_FALL2021,2,stat6021,FALL2021
2,3_ds5100_FALL2021,3,ds5100,FALL2021
3,4_cs5012_FALL2021,4,cs5012,FALL2021
4,5_ds6030_FALL2021,5,ds6030,FALL2021
5,6_ds_biz_analytics_FALL2021,6,ds_biz_analytics,FALL2021
6,7_ds5110_FALL2021,7,ds5110,FALL2021
7,8_ds5001_FALL2021,8,ds5001,FALL2021
8,9_ds6001_FALL2021,9,ds6001,FALL2021
9,10_ds6011_FALL2021,10,ds6011,FALL2021
10,5_ds6040_FALL2021,5,ds6040,FALL2021
11,12_ds6002_FALL2021,12,ds6002,FALL2021
12,13_ds6050_FALL2021,13,ds6050,FALL2021
13,14_ds6013_FALL2021,14,ds6013,FALL2021
14,1_ds_tech_bootcamp_SUMMER2021,1,ds_tech_bootcamp,SUMMER2021
15,2_stat6021_SUMMER2021,2,stat6021,SUMMER2021
16,17_ds5100_SUMMER2021,17,ds5100,SUMMER2021
17,4_cs5012_SUMMER2021,4,cs5012,SUMMER2021
18,10_ds6030_SUMMER2021,10,ds6030,SUMMER2021
19,7_ds5110_SUMMER2021,7,ds5110,SUMMER2021
20,8_ds5001_SUMMER2021,8,ds5001,SUMMER2021
21,14_ds6001_SUMMER2021,14,ds6001,SUMMER2021
22,14_ds6011_SUMMER2021,14,ds6011,SUMMER2021
23,14_ds6040_SUMMER2021,14,ds6040,SUMMER2021
24,12_ds6002_SUMMER2021,12,ds6002,SUMMER2021
25,15_ds6050_SUMMER2021,15,ds6050,SUMMER2021
26,16_ds6013_SUMMER2021,16,ds6013,SUMMER2021
27,12_ds6012_SUMMER2021,12,ds6012,SUMMER2021
28,21_ds6003_SUMMER2021,21,ds6003,SUMMER2021
29,1_ds_tech_bootcamp_SPRING2021,1,ds_tech_bootcamp,SPRING2021
30,2_stat6021_SPRING2021,2,stat6021,SPRING2021
31,3_ds5100_SPRING2021,3,ds5100,SPRING2021
32,18_cs5012_SPRING2021,18,cs5012,SPRING2021
33,19_ds6030_SPRING2021,19,ds6030,SPRING2021
34,7_ds5110_SPRING2021,7,ds5110,SPRING2021
35,8_ds5001_SPRING2021,8,ds5001,SPRING2021
36,16_ds6001_SPRING2021,16,ds6001,SPRING2021
37,16_ds6011_SPRING2021,16,ds6011,SPRING2021
38,5_ds6040_SPRING2021,5,ds6040,SPRING2021
39,20_ds6002_SPRING2021,20,ds6002,SPRING2021
40,15_ds6050_SPRING2021,15,ds6050,SPRING2021
41,14_ds6013_SPRING2021,14,ds6013,SPRING2021
42,21_ds6003_SPRING2021,21,ds6003,SPRING2021
43,20_ds6012_SPRING2021,20,ds6012,SPRING2021
44,22_sarc5400_SPRING2021,22,sarc5400,SPRING2021
